rowid,dataset,rep,primateMRCA,model,DG,DP,G,P,S,tree
22,1,11,68,fitSYM,0,0,0.08471709263577512,0.40008211052657866,0.5152007968376462,Olivier et al
23,1,12,53,fitSYM,0,0,0.02933211200472469,0.8700544785944134,0.10061340940086203,Kuderna et al
24,1,12,68,fitSYM,0,0,0.014307412084419876,0.13653008943644007,0.84916249847914,Olivier et al
25,1,13,53,fitSYM,0,0,0.022452599176517152,0.701425300099889,0.2761221007235939,Kuderna et al
26,1,13,68,fitSYM,0,0,0.07233021846208106,0.2912205248850084,0.6364492566529106,Olivier et al
27,1,14,53,fitSYM,0,0,0.011322671692691699,0.712843313968284,0.2758340143390242,Kuderna et al
28,1,14,68,fitSYM,0,0,0.017827672177693408,0.1887792323735169,0.7933930954487897,Olivier et al
29,1,15,53,fitSYM,0,0,0.01781071774615069,0.6550253321875575,0.3271639500662918,Kuderna et al
30,1,15,68,fitSYM,0,0,0.010391922179379324,0.14973748500136952,0.8398705928192511,Olivier et al
31,1,16,53,fitSYM,0,0,0.05944353175368046,0.8420968624679499,0.09845960577836972,Kuderna et al
32,1,16,68,fitSYM,0,0,0.01735555165233792,0.1260324135995936,0.8566120347480685,Olivier et al
33,1,17,53,fitSYM,0,0,0.011322671688332321,0.7128433137570805,0.27583401455458717,Kuderna et al
34,1,17,68,fitSYM,0,0,0.024583926081041884,0.4018822375395827,0.5735338363793754,Olivier et al
